id;taxonomy_id;title;order_no;created_at;updated_at;color
420;NULL;Biologi;4;2012-03-08 06:08;2016-09-01 11:07;#8FBA21
421;NULL;Kemi;3;2012-03-08 06:10;2016-09-01 11:06;#E3B519
422;NULL;Svenska;5;2012-03-08 06:11;2016-09-01 11:07;#28AFB3
423;NULL;Fysik;2;2012-03-08 06:11;2016-09-01 11:06;#0ABB97
424;NULL;Historia;7;2012-03-08 06:12;2016-05-27 14:01;#df5b5d
425;NULL;Matematik;1;2012-03-08 06:12;2016-05-27 14:01;#63b53d
36821;NULL;Geografi;8;2012-04-27 03:51;2016-05-27 14:02;#9a604b
36822;NULL;Religion;9;2012-04-27 03:51;2016-09-01 11:08;#8d59b0
36823;NULL;Samhallsk.;6;2012-04-27 03:52;2016-09-01 11:07;#2295da
36824;NULL;Engelska;10;2018-01-30 13:31;2019-03-19 14:15;#114D85
36825;NULL;Teknik;11;2018-01-30 13:33;2018-01-31 10:11;#FF9933